SEEG TBAL3,SEEG TBAL4,SEEG TBAR1,SEEG TBAR2,SEEG TBAR3,SEEG TBAR4,SEEG TBPL1,SEEG TBPL2,SEEG TBPL3,SEEG TBPL4,SEEG TBPR1,SEEG TBPR2,SEEG TBPR3,SEEG TBPR4,SEEG TL01,SEEG TL02,SEEG TL03,SEEG TL04,SEEG TL05,SEEG TL06,SEEG TL07,SEEG TL08,SEEG TL09,SEEG TL10,SEEG TLL01,SEEG TLL02,SEEG TLL03,SEEG TLL04,SEEG TLR01,SEEG TLR02,SEEG TLR03,SEEG TLR04,SEEG TR01,SEEG TR02,SEEG TR03,SEEG TR04,SEEG TR05,SEEG TR06,SEEG TR07,SEEG TR08,SEEG TR09,SEEG TR10
-22.730145630331908,-2.2675451465686525,-25.704423437002426,-44.33540452518889,-61.27027733229871,-57.38705786062958,-131.4117500100408,-65.03383029777352,-11.493859458410151,-7.3323565251612735,-29.17448112901129,-38.70474106523608,-44.0511545293182,-58.83303670829771,-36.465150504857,21.18990234197727,160.23871472523274,131.71029510204644,-3.6462382759769056,18.330545234065493,51.83653426944706,-113.34640965510974,-219.1091226918173,-261.99539793446536,9.091766100647908,19.85164902993896,20.559925667412312,6.403643971239176,-62.24205794862852,12.29817159989047,-40.399769159939495,-24.502993549073224,-58.70802463849712,-54.287940261351615,-68.37002071712804,-48.611949045952734,-42.02419743775364,-43.22114702848874,-50.57566700451325,-50.32188732455891,-41.37407015970081,-42.68329345538075
-21.523549860896583,-13.493864594670343,-26.55215822081092,-46.97509623094851,-64.49331586684781,-62.68360804319948,-125.24621886391289,-53.61918867388984,-10.50186216781016,-11.23668236979377,-19.21667734421035,-42.45588884714023,-47.57037794013726,-60.761103310858495,-33.721747963452216,24.636291034971723,112.39608836584374,114.04863722413889,-8.970782514969144,12.231387655862983,53.7339109280049,-104.39369208190745,-210.67604772027528,-253.07083139490516,5.607873395366815,13.399537730417558,8.768276494178279,-1.1270569210623085,-47.130256124325385,2.70250854153117,-52.45431014712708,-37.05389566501751,-62.8976109731348,-54.043833596354375,-64.87239699188486,-42.04936729966752,-42.8596886330693,-43.48601810243422,-50.93750256658957,-49.955392576639206,-42.86266561303044,-42.94352514854088
-20.259075229496823,-24.430459751518,-25.33159968019225,-46.516875360063,-63.69779089647832,-62.88655038355411,-120.25021987228284,-50.58059548718734,-11.202988172673257,-17.208138763527618,-15.00348645255408,-42.57168611113153,-45.681053588011565,-62.31621837975633,-35.73598816661347,24.86502527540272,64.57111057526853,96.20830748809992,-13.438354066203678,6.915884311041959,54.80119743217002,-93.48990161694752,-200.88404972846928,-243.0182419740209,4.159426750806535,9.60407229420752,-3.64816308248178,-6.378382454104913,-23.477095671394785,-16.0060262012951,-59.18560200892989,-52.80617950844161,-66.49430900642167,-51.46106006598957,-59.33088003985696,-36.16638370632083,-42.18286015221401,-41.8718000883538,-47.69721242448416,-48.980909966325605,-43.21722498770891,-41.209550580877085
-19.67291769726462,-29.02324389170529,-21.5847184637081,-43.10520614865575,-62.24703166510949,-61.63072160627007,-116.42958529888227,-55.1902032111304,-8.514023925797947,-21.68718207045769,-16.925595934077815,-34.77365777078535,-41.38938870050919,-66.31578807200572,-43.656354039142606,28.46543252817609,25.79342407857227,80.25417491235683,-15.366355226918431,2.5350783205745486,58.52193146737449,-81.43501328913513,-190.10321967739705,-231.880733175299,5.038449350002707,8.00697048751533,-9.908222681322297,-7.563716712226856,-3.910890244731154,-35.261440979002366,-61.89830326603127,-69.13085566647511,-66.83294730838868,-49.01167743931189,-52.490125423423024,-31.39387652483033,-35.53838823584552,-36.75514530588438,-43.42188648049593,-46.184124145193344,-41.03364107601906,-38.28218001365435
-18.845328200455583,-25.529926792944817,-18.091801151647488,-40.033917919106806,-63.62851225737237,-59.77520839270635,-112.15916615858804,-61.91300057869445,-9.660027548385054,-21.855129276422502,-22.766429446432863,-27.86399310005145,-37.22993450843768,-72.93653442027266,-54.5480219982529,43.61819930890495,2.700313723365133,67.13371909052563,-16.702567507600037,-1.6988634967741398,64.21633607627541,-69.33889645321068,-178.9874782633554,-220.40622487385397,6.941133394536055,8.543301721846573,-9.409733763950438,-5.91703682467045,3.765385197184504,-46.91116940453688,-66.31050538963193,-82.99979360593308,-65.28034172021837,-48.87629605637871,-45.59597045182636,-28.20549472189609,-27.93411571847966,-30.99955864273894,-41.8573359129094,-43.790671971390665,-39.6090198744315,-37.654550456392194
-16.849276148328855,-19.292512640862217,-16.998236632598623,-39.24399830917041,-66.88033426085009,-54.77673888734415,-104.62376578756252,-63.61259236941357,-16.51071843639773,-18.27368476245949,-28.607442511867244,-31.833614865396093,-34.72792425798324,-77.65614935649573,-63.27129513041797,66.43828513337064,-0.0889611162417693,56.93099276492872,-18.905830835082625,-5.042060915382648,69.11351500844431,-53.19052977174464,-164.1705702662784,-205.56199001854745,7.347985930037678,11.647492588726488,-7.010880632792151,-4.403390486412848,0.7693359446840039,-52.16731736393454,-76.07501266972952,-86.97861689236233,-63.47217121427008,-50.5900175557818,-40.451436492701575,-26.32641283042468,-26.37458110524404,-29.7394059230873,-41.799385974316166,-43.97209451320936,-41.565377875706666,-40.86201132477973
-14.150611269503155,-16.404170656795912,-19.926175586690068,-39.69579984154328,-69.072253024511,-45.43377598584055,-93.50769643334542,-59.32729064536336,-22.039735558079364,-15.201128804528736,-33.980895552889706,-45.169474029977245,-36.31160782214017,-75.96096036698111,-67.15948091077595,85.58857547274113,16.388705006535776,56.420819496936986,-18.995354973998705,-1.2249581042827888,77.51613066667151,-26.7719379860582,-141.20422672234304,-183.35240093020315,1.0581246622959004,13.891522198440288,-7.425803468828184,-6.197132248268964,-9.00109636347229,-56.82962993140337,-86.51046294464467,-81.30975860741242,-62.45846766052486,-54.03388919732864,-40.517111815555054,-27.61472981094073,-33.18786168189042,-36.33354825952467,-43.24338749474954,-48.03105448325196,-47.05238870470094,-46.52885957782492
-10.492220626728358,-16.195105096075043,-28.04790641227357,-41.08784579392666,-69.65893329797038,-32.60986783171272,-83.65862616581738,-54.80739540864019,-23.093146155203613,-12.473417650513351,-41.354815562097706,-58.61967703732061,-44.89755158871336,-69.29976116471421,-65.0042634398175,97.26750185217628,45.496217541021366,73.9582491772214,-13.762422638445848,13.242530909018727,97.04796901695391,10.78360315418104,-109.66182874999971,-153.1465569011531,-14.391345289376488,12.838759381794862,-11.04640136661694,-11.085209603101069,-25.47511478680614,-65.62953797668698,-85.32289849448068,-77.80469210198596,-63.65471299904159,-60.93464002858672,-48.75695419420752,-35.79161759474474,-43.10517394548888,-46.61932586970281,-49.896134916922335,-56.69246158810125,-55.362139799805725,-52.37460970075279
-5.894176712934546,-14.201627791607187,-38.86179015072429,-44.79038433858885,-70.61792129079913,-25.19872654500711,-79.04637229047147,-54.36542687352352,-22.05447857053748,-5.6112898112044665,-50.13563689803891,-68.92024680214134,-60.11943661798206,-63.03965350010818,-56.13000184656686,103.1489105588908,75.78255695862381,101.56491259740272,-5.848365002907517,30.948443069355317,125.30994233064348,52.79102337575632,-73.2936179661479,-117.571273459435,-32.95797483585474,9.914586476655996,-15.36340253872696,-16.911707276077998,-46.15092796985775,-76.3933858580863,-67.20738996098429,-81.86622257917308,-66.92589723737018,-71.39196450219572,-62.881936790596136,-50.190151229196864,-49.02151550059144,-52.33691717603594,-61.37092745303883,-67.34353566181946,-64.59653477795491,-56.17853958076751
-2.0882172067681397,-8.594066987951436,-46.02496260383803,-50.11115460192209,-72.15267295827898,-35.04636915221159,-74.80864165241702,-54.92829914638117,-16.087448046920883,5.638867549259419,-55.715714343580544,-77.56881901666122,-74.40416194777835,-57.60201160285505,-42.62012318841283,101.90616416114436,95.49676721382144,123.15858868792952,1.0761960284765055,46.172916652699634,152.83216285825964,90.78975988632914,-36.291393638466346,-79.74712124264525,-45.13960383544153,5.990461561793257,-18.358490232018195,-21.69310006069596,-59.59640133973087,-78.09370353902538,-41.658231043791865,-83.36622757133449,-68.79327015320656,-80.5149070170559,-74.57864176858159,-62.77647114601352,-49.1758714820599,-50.373942156951856,-69.44063668880888,-73.29545270208475,-69.69431848942557,-55.00594740625019
